id,mood_category,verse_key,text,fullVerse,ref,status,devotional,prayer,createdAt,updatedAt,note
1,anxious,anxious-phil4_6-7,Be careful for nothing; but in every thing by prayer...,"Be careful for nothing; but in every thing by prayer and supplication with thanksgiving let your requests be made known unto God. And the peace of God, which passeth all understanding, shall keep your hearts and minds through Christ Jesus.",Philippians 4:6-7,published,"Anxiety whispers that you must carry it all alone, but God invites every concern into prayer. He trades your worry for peace that stands guard over your heart.","Lord, I bring every anxious thought to You with thanksgiving. Replace my fear with Your surpassing peace. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,You are not alone in the storm—His peace guards what you cannot.
2,anxious,anxious-isa41_10,Fear thou not; for I am with thee...,"Fear thou not; for I am with thee: be not dismayed; for I am thy God: I will strengthen thee; yea, I will help thee; yea, I will uphold thee with the right hand of my righteousness.",Isaiah 41:10,published,"When fear tightens its grip, God speaks directly: ""I am with thee."" His hand upholds you when your strength fails.","Father, when I am afraid, remind me You are my God. Strengthen and uphold me today. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,His right hand never trembles or lets go.
3,anxious,anxious-2tim1_7,For God hath not given us the spirit of fear...,"For God hath not given us the spirit of fear; but of power, and of love, and of a sound mind.",2 Timothy 1:7,published,"Fear is not from God—He gives power for the task, love that casts out torment, and clarity for your mind.","Lord, replace this spirit of fear with Your power, love, and sound mind. Renew my thoughts. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Fear is a liar; God's Spirit brings truth and calm.
4,anxious,anxious-jn14_27,Peace I leave with you...,"Peace I leave with you, my peace I give unto you: not as the world giveth, give I unto you. Let not your heart be troubled, neither let it be afraid.",John 14:27,published,Jesus' peace is steady and unshakable—different from fleeting calm. Receive it when your heart races.,"Jesus, thank You for Your peace. Calm my troubled heart and remove fear. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,His peace is yours to claim in the moment.
5,anxious,anxious-1pet5_7,Casting all your care upon him...,Casting all your care upon him; for he careth for you.,1 Peter 5:7,published,Every burden is His to carry—because He truly cares. Release the weight you were never meant to bear alone.,"Lord, I cast all my cares on You because You care deeply for me. Lighten my load. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,You are never too much or too heavy for Him.
6,anxious,anxious-mat6_34,Take therefore no thought for the morrow...,Take therefore no thought for the morrow: for the morrow shall take thought for the things of itself. Sufficient unto the day is the evil thereof.,Matthew 6:34,published,Tomorrow's worries steal today's peace. God gives grace for today—trust Him for what comes next.,"Father, help me live in today's grace and release tomorrow's fears. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Today has enough grace for today.
7,anxious,anxious-isa26_3,Thou wilt keep him in perfect peace...,"Thou wilt keep him in perfect peace, whose mind is stayed on thee: because he trusteth in thee.",Isaiah 26:3,published,"Perfect peace flows when your mind rests on God, not circumstances. Trust Him fully.","Lord, keep my mind stayed on You for perfect peace. Increase my trust. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Peace flows when focus is on Him.
8,anxious,anxious-ps56_3,What time I am afraid...,"What time I am afraid, I will trust in thee.",Psalm 56:3,published,"In the very moment fear arrives, choose trust. God hears and delivers.","Lord, when fear comes, I choose to trust You. Deliver me from fear. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Trust speaks louder than fear.
9,anxious,anxious-ps27_1,The LORD is my light and my salvation...,The LORD is my light and my salvation; whom shall I fear? the LORD is the strength of my life; of whom shall I be afraid?,Psalm 27:1,published,"With God as your light and strength, fear loses its power. Whom shall you fear?","Lord, You are my light and salvation. Banish fear from my heart. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Fear fades in His light.
10,anxious,anxious-mat11_28,"Come unto me, all ye that labour...","Come unto me, all ye that labour and are heavy laden, and I will give you rest.",Matthew 11:28,published,Jesus invites the anxious and burdened to find true rest in Him—not exhaustion.,"Jesus, I come to You heavy and tired. Give me rest today. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,Rest is found in surrender.
11,anxious,anxious-ps55_22,Cast thy burden upon the LORD...,"Cast thy burden upon the LORD, and he shall sustain thee: he shall never suffer the righteous to be moved.",Psalm 55:22,published,God promises to sustain you when you cast your burdens on Him. He will not let you fall.,"Lord, I cast my burdens on You. Sustain me and keep me steady. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He never drops what you give Him.
12,anxious,anxious-ps94_19,In the multitude of my thoughts...,In the multitude of my thoughts within me thy comforts delight my soul.,Psalm 94:19,published,"When anxious thoughts multiply, God's comforts bring delight to your soul.","Lord, in the multitude of my thoughts, let Your comforts delight my soul. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,His comforts turn chaos into peace.
13,anxious,anxious-prov12_25,Heaviness in the heart...,Heaviness in the heart of man maketh it stoop: but a good word maketh it glad.,Proverbs 12:25,published,"Anxiety weighs down the heart, but God's good word lifts it up again.","Father, speak Your good word to my heavy heart today. Make me glad. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,A good word from Him changes everything.
14,anxious,anxious-jos1_9,Have not I commanded thee...,"Have not I commanded thee? Be strong and of a good courage; be not afraid, neither be thou dismayed: for the LORD thy God is with thee whithersoever thou goest.",Joshua 1:9,published,"God commands courage because He goes with you—every step, every fear.","Lord, make me strong and courageous. Remind me You are with me always. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,You are never walking alone.
15,anxious,anxious-deut31_6,Be strong and of a good courage...,"Be strong and of a good courage, fear not, nor be afraid of them: for the LORD thy God, he it is that doth go with thee; he will not fail thee, nor forsake thee.",Deuteronomy 31:6,published,God goes before you and behind you—He will never fail or forsake.,"Father, I will not fear—You go with me and never leave. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He never fails those He accompanies.
16,anxious,anxious-ps46_1,God is our refuge and strength...,"God is our refuge and strength, a very present help in trouble.",Psalm 46:1,published,"In trouble, God is not distant—He is your immediate refuge and strength.","Lord, be my refuge and strength in this trouble. Help me run to You. Amen.",2026-01-13 14:00:00,2026-01-13 14:00:00,He is very present—right now.
